character,pinyin,bihua,n.male,n.female,name.gender,n.1930_1959,n.1960_1969,n.1970_1979,n.1980_1989,n.1990_1999,n.2000_2008,ppm.1930_1959,ppm.1960_1969,ppm.1970_1979,ppm.1980_1989,ppm.1990_1999,ppm.2000_2008,name.ppm,name.uniqueness,corpus.ppm,corpus.uniqueness,name.valence,name.warmth,name.competence,ipa,tone,tone_height,tone_contour,tone_level,tone_rising,tone_falling,tone_melody,tone_register,tone_pitch,vowel_backedness,vowel_height,vowel_roundedness,size,masculine,feminine
阿,a1,7,277856,598454,-0.366,501181,87732,79767,105630,85218,17032,1561.312,427.961,381.66,510.29,507.25,189.244,596.286,3.224,217.18,3.661,3.125,3.3,2.4,e,1,high,level,1,0,0,high,+upper,raised_H,front,middle,unround,missing,0.3170750077027536,0.6829249922972465
啊,a1,10,2726,5330,-0.323,849,675,1067,2578,2425,460,2.645,3.293,5.105,12.454,14.435,5.111,7.174,5.088,263.742,3.577,2.5625,2.8,2.0,a,1,high,level,1,0,0,high,+upper,raised_H,center,low,unround,large,0.3383813306852036,0.6616186693147964
皑,ai2,11,392,640,-0.24,78,126,257,254,212,105,0.243,0.615,1.23,1.227,1.262,1.167,0.957,5.708,3.087,5.389,3.75,3.3,3.6,ai,2,mid,rising,0,1,0,high,+upper,raised_L,front,high,unround,small,0.3798449612403101,0.6201550387596899
蔼,ai3,14,1735,7691,-0.632,2455,902,1106,1411,2286,1258,7.648,4.4,5.292,6.816,13.607,13.978,8.624,5.017,5.852,5.164,4.0,4.3,2.9,ai,3,low,falling-rising,0,1,1,low,-upper,raised_H,front,high,unround,small,0.18406535115637598,0.815934648843624
霭,ai3,19,496,2499,-0.669,748,230,305,548,758,418,2.33,1.122,1.459,2.647,4.512,4.644,2.786,5.422,2.187,5.497,3.75,3.6,3.0,ai,3,low,falling-rising,0,1,1,low,-upper,raised_H,front,high,unround,small,0.1656093489148581,0.8343906510851419
艾,ai4,5,60098,247092,-0.609,94001,67663,55262,32865,29895,27476,292.838,330.063,264.411,158.768,177.946,305.289,254.886,3.592,27.075,4.552,3.5,3.5,3.0,i,4,high,falling,0,0,1,low,-upper,raised_L,front,high,unround,small,0.19563787883720174,0.8043621211627983
爱,ai4,10,1443486,8347869,-0.705,3447308,2786913,2302717,888139,284567,80397,10739.277,13594.698,11017.785,4290.527,1693.851,893.3,7038.24,2.152,504.846,3.296,4.4375,4.6,2.8,ai,4,high,falling,0,0,1,low,-upper,raised_L,front,high,unround,small,0.14742453930022964,0.8525754606997703
叆,ai4,14,11,34,-0.511,6,2,6,9,9,13,0.019,0.01,0.029,0.043,0.054,0.144,0.05,5.979,0.0,6.0,3.0,3.1,2.5,ai,4,high,falling,0,0,1,low,-upper,raised_L,front,high,unround,small,0.24444444444444444,0.7555555555555555
安,an1,6,4610624,1114890,0.611,2305421,1233734,871545,559071,461366,292854,7181.997,6018.215,4170.072,2700.826,2746.226,3253.933,4345.212,2.362,633.791,3.197,4.5625,4.3,3.5,an,1,high,level,1,0,0,high,+upper,raised_H,center,low,unround,large,0.8052768712119122,0.19472312878808784
桉,an1,10,4250,1711,0.426,108,137,257,720,1799,2940,0.336,0.668,1.23,3.478,10.708,32.667,8.181,5.037,3.409,5.356,3.4375,3.4,3.2,an,1,high,level,1,0,0,high,+upper,raised_H,center,low,unround,large,0.7129676228820667,0.2870323771179332
谙,an1,11,124,134,-0.039,12,19,24,33,73,97,0.037,0.093,0.115,0.159,0.435,1.078,0.32,5.879,2.572,5.447,3.1875,3.2,3.2,an,1,high,level,1,0,0,high,+upper,raised_H,center,low,unround,large,0.4806201550387597,0.5193798449612403
岸,an4,8,22487,11265,0.332,2388,3330,7153,10446,7977,2440,7.439,16.244,34.225,50.464,47.482,27.111,30.494,4.502,114.282,3.938,3.4375,3.3,3.3,an,4,high,falling,0,0,1,low,-upper,raised_L,center,low,unround,large,0.666242000474046,0.33375799952595403
昂,ang2,8,114849,10247,0.836,7707,5057,7526,18131,39664,46939,24.009,24.668,36.01,87.589,236.095,521.544,154.986,3.807,35.693,4.435,4.375,3.7,3.9,aŋ,2,mid,rising,0,1,0,high,+upper,raised_L,center,low,unround,large,0.9180869092536932,0.08191309074630683
敖,ao2,10,17441,2114,0.784,8147,1490,1022,1451,3583,3860,25.38,7.268,4.89,7.01,21.327,42.889,18.127,4.718,2.444,5.463,3.4375,2.8,3.6,ao,2,mid,rising,0,1,0,high,+upper,raised_L,center,middle,rounded,large,0.8918946560981846,0.10810534390181539
遨,ao2,13,1107,130,0.79,21,27,59,206,440,484,0.065,0.132,0.282,0.995,2.619,5.378,1.579,5.589,1.994,5.524,4.0,3.4,3.7,ao,2,mid,rising,0,1,0,high,+upper,raised_L,center,middle,rounded,large,0.8949070331447049,0.10509296685529507
熬,ao2,14,1475,105,0.867,360,121,210,367,429,95,1.121,0.59,1.005,1.773,2.554,1.056,1.35,5.629,18.972,4.7,1.6875,2.1,2.7,ao,2,mid,rising,0,1,0,high,+upper,raised_L,center,middle,rounded,large,0.9335443037974683,0.06645569620253164
翱,ao2,16,15014,1310,0.84,713,567,1033,2585,4914,6505,2.221,2.766,4.943,12.488,29.25,72.278,20.658,4.664,2.38,5.471,4.5,3.5,4.1,ao,2,mid,rising,0,1,0,high,+upper,raised_L,center,middle,rounded,large,0.9197500612594952,0.08024993874050478
鳌,ao2,18,6121,128,0.959,2853,544,537,976,862,531,8.888,2.654,2.569,4.715,5.131,5.9,4.976,5.224,2.572,5.447,2.0,2.2,3.2,ao,2,mid,rising,0,1,0,high,+upper,raised_L,center,middle,rounded,large,0.9795167226756281,0.0204832773243719
傲,ao4,12,93106,33758,0.468,7337,3872,4961,11388,46882,52502,22.857,18.888,23.737,55.014,279.06,583.356,163.819,3.783,26.111,4.567,3.375,2.6,3.7,ao,4,high,falling,0,0,1,low,-upper,raised_L,center,middle,rounded,large,0.7339040232059528,0.2660959767940472
奥,ao4,12,124385,28948,0.622,736,362,785,5541,43886,102197,2.293,1.766,3.756,26.768,261.226,1135.522,238.555,3.621,70.614,4.145,3.9375,2.8,3.5,ao,4,high,falling,0,0,1,low,-upper,raised_L,center,middle,rounded,large,0.8112082852354027,0.1887917147645973
骜,ao4,13,4052,423,0.811,32,34,99,347,1629,2334,0.1,0.166,0.474,1.676,9.696,25.933,6.341,5.134,0.45,5.839,2.6875,2.5,3.8,ao,4,high,falling,0,0,1,low,-upper,raised_L,center,middle,rounded,large,0.9054748603351955,0.09452513966480447
澳,ao4,15,46028,10316,0.634,176,112,216,1008,35596,19349,0.548,0.546,1.033,4.87,211.881,214.989,72.311,4.135,28.04,4.537,3.125,2.8,3.1,ao,4,high,falling,0,0,1,low,-upper,raised_L,center,middle,rounded,large,0.8169104074968053,0.18308959250319465
鏊,ao4,18,180,15,0.846,11,7,10,19,60,88,0.034,0.034,0.048,0.092,0.357,0.978,0.257,5.901,0.45,5.839,2.9375,2.5,3.0,ao,4,high,falling,0,0,1,low,-upper,raised_L,center,middle,rounded,large,0.9230769230769231,0.07692307692307693
八,ba1,2,43674,38700,0.06,36689,17762,14795,7961,4144,1029,114.296,86.644,70.789,38.459,24.667,11.433,57.715,4.231,563.434,3.248,2.0625,2.8,2.5,pa,1,high,level,1,0,0,high,+upper,raised_H,center,low,unround,large,0.5301915652997305,0.4698084347002695
巴,ba1,4,41015,23492,0.272,20428,12027,12304,11361,6629,1765,63.639,58.668,58.871,54.884,39.458,19.611,49.189,4.299,277.247,3.556,2.8125,2.8,2.2,pa,1,high,level,1,0,0,high,+upper,raised_H,center,low,unround,large,0.6358224688793465,0.3641775311206536
粑,ba1,10,1,1,0.0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.012,0.0,0.002,5.999,3.023,5.395,1.125,2.2,1.6,pa,1,high,level,1,0,0,high,+upper,raised_H,center,low,unround,large,0.5,0.5
拔,ba2,8,667,96,0.748,351,89,88,137,80,18,1.093,0.434,0.421,0.662,0.476,0.2,0.548,5.81,71.707,4.138,2.1875,2.3,2.2,pa,2,mid,rising,0,1,0,high,+upper,raised_L,center,low,unround,large,0.8741808650065531,0.1258191349934469
白,bai2,5,80178,207742,-0.443,120806,51537,38841,39924,28567,8099,376.343,251.4,185.842,192.87,170.042,89.989,211.081,3.673,776.048,3.11,3.3125,3.3,2.8,pai,2,mid,rising,0,1,0,high,+upper,raised_L,front,high,unround,small,0.2784731869963879,0.7215268130036121
百,bai3,6,276137,101455,0.463,131600,83055,64573,50461,32166,15492,409.969,405.146,308.962,243.773,191.464,172.133,288.575,3.538,647.682,3.188,3.5625,3.8,3.2,pai,3,low,falling-rising,0,1,1,low,-upper,raised_H,front,high,unround,small,0.731310515053285,0.26868948494671496
佰,bai3,8,136942,39523,0.552,64367,38247,30236,22526,14149,7084,200.52,186.571,144.67,108.821,84.22,78.711,133.919,3.87,0.386,5.858,3.5625,3.3,3.2,pai,3,low,falling-rising,0,1,1,low,-upper,raised_H,front,high,unround,small,0.7760292409259627,0.22397075907403735
柏,bai3,9,820862,158797,0.676,368687,184830,133181,109038,99347,84291,1148.558,901.61,637.23,526.754,591.351,936.567,790.345,3.102,36.915,4.421,4.25,3.6,3.4,pai,3,low,falling-rising,0,1,1,low,-upper,raised_H,front,high,unround,small,0.8379058427473233,0.1620941572526767
拜,bai4,9,662,339,0.323,206,107,153,205,255,74,0.642,0.522,0.732,0.99,1.518,0.822,0.871,5.728,77.56,4.105,2.4375,2.9,3.0,pai,4,high,falling,0,0,1,low,-upper,raised_L,front,high,unround,small,0.6613386613386614,0.3386613386613387
班,ban1,10,5120,2273,0.385,1558,1159,1171,1780,1439,287,4.854,5.654,5.603,8.599,8.565,3.189,6.077,5.15,255.703,3.591,2.75,2.7,2.9,pan,1,high,level,1,0,0,high,+upper,raised_H,center,low,unround,large,0.6925470039226295,0.3074529960773705
板,ban3,8,1220,2912,-0.409,2014,656,534,475,349,102,6.274,3.2,2.555,2.295,2.077,1.133,2.922,5.406,196.729,3.704,2.1875,2.3,2.8,pʰan,3,low,falling-rising,0,1,1,low,-upper,raised_H,center,low,unround,large,0.2952565343659245,0.7047434656340755
邦,bang1,6,673998,154210,0.628,357808,153670,123211,84030,68308,41017,1114.667,749.61,589.526,405.942,406.595,455.744,620.347,3.207,57.816,4.231,3.9375,3.7,3.6,paŋ,1,high,level,1,0,0,high,+upper,raised_H,center,low,unround,large,0.8138028128199679,0.18619718718003206
帮,bang1,9,293280,125144,0.402,167513,88421,75438,46555,30126,9602,521.847,431.322,360.947,224.903,179.321,106.689,304.172,3.515,249.207,3.602,3.125,4.0,3.1,paŋ,1,high,level,1,0,0,high,+upper,raised_H,center,low,unround,large,0.7009158174483299,0.2990841825516701
榜,bang3,14,63269,3175,0.904,31786,10085,7866,7407,6512,3189,99.022,49.195,37.636,35.783,38.762,35.433,49.305,4.298,20.451,4.669,3.375,3.1,3.5,paŋ,3,low,falling-rising,0,1,1,low,-upper,raised_H,center,low,unround,large,0.9522153994341099,0.047784600565890074
包,bao1,5,5347,1998,0.456,3028,1065,971,1106,961,209,9.433,5.195,4.646,5.343,5.72,2.322,5.443,5.191,513.399,3.289,2.875,3.1,2.7,pao,1,high,level,1,0,0,high,+upper,raised_H,center,middle,rounded,large,0.7279782164737917,0.2720217835262083
薄,bao2,16,2067,611,0.544,109,91,159,635,1155,522,0.34,0.444,0.761,3.068,6.875,5.8,2.881,5.411,96.532,4.011,2.125,2.1,2.3,puo,2,mid,rising,0,1,0,high,+upper,raised_L,back,high,rounded,missing,0.7718446601941747,0.22815533980582525
