,character,pinyin,bihua,n.male,n.female,name.gender,n.1930_1959,n.1960_1969,n.1970_1979,n.1980_1989,n.1990_1999,n.2000_2008,ppm.1930_1959,ppm.1960_1969,ppm.1970_1979,ppm.1980_1989,ppm.1990_1999,ppm.2000_2008,name.ppm,name.uniqueness,corpus.ppm,corpus.uniqueness,name.valence,name.warmth,name.competence,ipa,tone,tone_height,tone_contour,tone_level,tone_rising,tone_falling,vowel_backedness,vowel_height,vowel_roundedness,masculine,feminine
0,阿,a1,7,277856,598454,-0.366,501181,87732,79767,105630,85218,17032,1561.312,427.961,381.66,510.29,507.25,189.244,596.286,3.224,217.18,3.661,3.125,3.3,2.4,e,1,high,level,1,0,0,front,middle,unround,0.3170750077027536,0.3170750077027536
1,啊,a1,10,2726,5330,-0.323,849,675,1067,2578,2425,460,2.645,3.293,5.105,12.454,14.435,5.111,7.174,5.088,263.742,3.577,2.5625,2.8,2.0,a,1,high,level,1,0,0,center,low,unround,0.3383813306852036,0.3383813306852036
8,安,an1,6,4610624,1114890,0.611,2305421,1233734,871545,559071,461366,292854,7181.997,6018.215,4170.072,2700.826,2746.226,3253.933,4345.212,2.362,633.791,3.197,4.5625,4.3,3.5,an,1,high,level,1,0,0,center,low,unround,0.8052768712119122,0.8052768712119122
9,桉,an1,10,4250,1711,0.426,108,137,257,720,1799,2940,0.336,0.668,1.23,3.478,10.708,32.667,8.181,5.037,3.409,5.356,3.4375,3.4,3.2,an,1,high,level,1,0,0,center,low,unround,0.7129676228820667,0.7129676228820667
10,谙,an1,11,124,134,-0.039,12,19,24,33,73,97,0.037,0.093,0.115,0.159,0.435,1.078,0.32,5.879,2.572,5.447,3.1875,3.2,3.2,an,1,high,level,1,0,0,center,low,unround,0.4806201550387597,0.4806201550387597
11,岸,an4,8,22487,11265,0.332,2388,3330,7153,10446,7977,2440,7.439,16.244,34.225,50.464,47.482,27.111,30.494,4.502,114.282,3.938,3.4375,3.3,3.3,an,4,high,falling,0,0,1,center,low,unround,0.666242000474046,0.666242000474046
12,昂,ang2,8,114849,10247,0.836,7707,5057,7526,18131,39664,46939,24.009,24.668,36.01,87.589,236.095,521.544,154.986,3.807,35.693,4.435,4.375,3.7,3.9,aŋ,2,mid,rising,0,1,0,center,low,unround,0.9180869092536932,0.9180869092536932
23,八,ba1,2,43674,38700,0.06,36689,17762,14795,7961,4144,1029,114.296,86.644,70.789,38.459,24.667,11.433,57.715,4.231,563.434,3.248,2.0625,2.8,2.5,pa,1,high,level,1,0,0,center,low,unround,0.5301915652997305,0.5301915652997305
24,巴,ba1,4,41015,23492,0.272,20428,12027,12304,11361,6629,1765,63.639,58.668,58.871,54.884,39.458,19.611,49.189,4.299,277.247,3.556,2.8125,2.8,2.2,pa,1,high,level,1,0,0,center,low,unround,0.6358224688793465,0.6358224688793465
25,粑,ba1,10,1,1,0.0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.012,0.0,0.002,5.999,3.023,5.395,1.125,2.2,1.6,pa,1,high,level,1,0,0,center,low,unround,0.5,0.5
